"Step","Group: pbt - rollouts/epi_mean_reward","Group: pbt - rollouts/epi_mean_reward__MIN","Group: pbt - rollouts/epi_mean_reward__MAX"
"1600","4.216666666666666","4.12","4.33"
"3200","5.8500000000000005","5.29","6.59"
"4800","6.7633333333333345","6.48","7.03"
"6400","8.549999999999999","7.82","9.42"
"8000","9.556666666666667","9.14","9.89"
"9600","11.876666666666665","10.3","13.61"
"11200","11.783333333333333","11.21","12.17"
"12800","11.736666666666666","11.09","12.71"
"14400","15.636666666666665","14.67","16.47"
"16000","15.413333333333334","13.89","17.55"
"17600","17.286666666666665","17.19","17.34"
"19200","16.476666666666663","13.74","19.06"
"20800","19.803333333333335","18.95","21.5"
"22400","22.05666666666667","18.82","24.94"
"24000","25.036666666666665","15.79","29.88"
"25600","29.846666666666664","19.51","35.12"
"27200","34.68","20.76","49.56"
"28800","32.413333333333334","17.54","41.7"
"30400","42.53333333333333","21.95","57.87"
"32000","47.03666666666667","23.31","59.1"
"33600","43.330000000000005","23.52","61.97"
"35200","51.00666666666666","42.04","60.05"
"36800","45.98333333333333","33.45","58.97"
"38400","48.413333333333334","35.25","61.02"
"40000","49.053333333333335","41","64.84"
"41600","51.86333333333332","35.91","65.74"
"43200","42.373333333333335","33.9","49.89"
"44800","53.693333333333335","35.02","71.45"
"46400","41.63333333333333","14.85","56.65"
"48000","41.483333333333334","13.64","69.31"
"49600","45.10666666666666","19.47","74.69"
"51200","39.87","19.88","60.17"
"52800","48.18666666666667","32.05","59.23"
"54400","38.78","18.81","51.25"
"56000","47.28666666666666","16.42","81.57"
"57600","48.61666666666667","19.66","64.32"
"59200","53.67666666666667","28.55","77.92"
"60800","63.06","47.64","71.63"
"62400","58.583333333333336","49.26","75.1"
"64000","49.01","42.3","60.57"
"65600","68.27333333333333","53.31","76.52"
"67200","56.47666666666667","40.94","70.6"
"68800","57.94","47.62","68.39"
"70400","75.04","67.04","86.16"
"72000","58.94","42.37","70.55"
"73600","88.60000000000001","64.8","106.61"
"75200","56.10333333333333","41.93","78.97"
"76800","50.663333333333334","34.04","66.14"
"78400","62.20333333333334","60.58","64.37"
"80000","51.300000000000004","40.34","69.25"
"81600","54.29","39.19","84.39"
"83200","42","22.21","75.55"
"84800","38.72","34.03","47.75"
"86400","50.663333333333334","32.9","64.78"
"88000","44.550000000000004","29.85","60"
"89600","67.50666666666666","44.59","90.61"
"91200","50.78666666666667","38.56","70.52"
"92800","45.68","37.77","50.48"
